#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz   segment_num 
1 0.02 0.000041 0.003993 0.005634 0.728569 3.330538 -0.001905 0.000000 0
1 0.02 -0.000052 0.004079 0.005688 0.736640 3.324574 -0.001846 0.000000 0
1 0.02 -0.000141 0.004167 0.005741 0.744543 3.318733 -0.001787 0.000000 0
1 0.02 -0.000219 0.004256 0.005792 0.752096 3.313024 -0.001730 0.000000 0
1 0.02 -0.000283 0.004347 0.005843 0.759195 3.307452 -0.001675 0.000000 0
1 0.02 -0.000329 0.004439 0.005891 0.765841 3.302023 -0.001620 0.000000 0
1 0.02 -0.000354 0.004532 0.005939 0.772150 3.296741 -0.001567 0.000000 0
1 0.02 -0.000360 0.004627 0.005986 0.778326 3.291612 -0.001516 0.000000 0
1 0.02 -0.000345 0.004724 0.006031 0.784597 3.286637 -0.001466 0.000000 0
1 0.02 -0.000312 0.004821 0.006075 0.791139 3.281822 -0.001418 0.000000 0
1 0.02 -0.000264 0.004920 0.006118 0.798029 3.277168 -0.001372 0.000000 0
1 0.02 -0.000205 0.005020 0.006160 0.805250 3.272677 -0.001327 0.000000 0
1 0.02 -0.000138 0.005122 0.006200 0.812709 3.268351 -0.001284 0.000000 0
1 0.02 -0.000070 0.005224 0.006240 0.820274 3.264191 -0.001242 0.000000 0
1 0.02 -0.000003 0.005327 0.006279 0.827804 3.260198 -0.001202 0.000000 0
1 0.02 0.000058 0.005432 0.006317 0.835179 3.256372 -0.001164 0.000000 0
1 0.02 0.000108 0.005537 0.006353 0.842321 3.252715 -0.001127 0.000000 0
1 0.02 0.000146 0.005643 0.006389 0.849216 3.249225 -0.001092 0.000000 0
1 0.02 0.000170 0.005749 0.006424 0.855909 3.245902 -0.001059 0.000000 0
1 0.02 0.000178 0.005857 0.006459 0.862501 3.242746 -0.001027 0.000000 0
1 0.02 0.000170 0.005965 0.006492 0.869112 3.239756 -0.000998 0.000000 0
1 0.02 0.000149 0.006073 0.006524 0.875852 3.236932 -0.000969 0.000000 0
1 0.02 0.000115 0.006183 0.006556 0.882783 3.234272 -0.000943 0.000000 0
1 0.02 0.000071 0.006292 0.006587 0.889917 3.231776 -0.000918 0.000000 0
1 0.02 0.000021 0.006403 0.006618 0.897217 3.229442 -0.000894 0.000000 0
1 0.02 -0.000032 0.006514 0.006648 0.904614 3.227270 -0.000873 0.000000 0
