#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz   segment_num 
1 0.02 0.002068 0.008214 0.006459 2.656969 3.141027 -0.102746 0.000000 2
1 0.02 0.001960 0.008209 0.006492 2.663580 3.140998 -0.099756 0.000000 2
1 0.02 0.001850 0.008190 0.006524 2.670320 3.140969 -0.096932 0.000000 2
1 0.02 0.001741 0.008158 0.006556 2.677251 3.140943 -0.094272 0.000000 2
1 0.02 0.001630 0.008117 0.006587 2.684385 3.140918 -0.091776 0.000000 2
1 0.02 0.001518 0.008069 0.006618 2.691685 3.140894 -0.089442 0.000000 2
1 0.02 0.001406 0.008017 0.006648 2.699082 3.140873 -0.087270 0.000000 2
1 0.02 0.001294 0.007967 0.006677 2.706495 3.140853 -0.085259 0.000000 2
1 0.02 0.001181 0.007919 0.006706 2.713845 3.140834 -0.083407 0.000000 2
1 0.02 0.001067 0.007879 0.006734 2.721078 3.140817 -0.081713 0.000000 2
1 0.02 0.000953 0.007847 0.006762 2.728172 3.140802 -0.080177 0.000000 2
1 0.02 0.000839 0.007825 0.006790 2.735141 3.140788 -0.078797 0.000000 2
1 0.02 0.000725 0.007815 0.006817 2.742030 3.140776 -0.077573 0.000000 2
1 0.02 0.000610 0.007817 0.006843 2.748901 3.140765 -0.076504 0.000000 2
1 0.02 0.000495 0.007829 0.006870 2.755817 3.140756 -0.075589 0.000000 2
1 0.02 0.000380 0.007852 0.006896 2.762823 3.140748 -0.074827 0.000000 2
1 0.02 0.000265 0.007883 0.006922 2.769936 3.140742 -0.074219 0.000000 2
1 0.02 0.000150 0.007919 0.006948 2.777145 3.140738 -0.073763 0.000000 2
1 0.02 0.000035 0.007959 0.006974 2.784415 3.140735 -0.073459 0.000000 2
1 0.02 -0.000080 0.008000 0.007000 2.791702 3.140733 -0.073307 0.000000 2
